"subj","condition","reading_times"
1,"np_und",984
1,"pa_und",932
1,"np_während",1291.5
1,"pa_während",1004
2,"np_und",1334.28571428571
2,"pa_und",1049.71428571429
2,"np_während",1054.5
2,"pa_während",816.571428571429
3,"np_und",451
3,"pa_und",523.428571428571
3,"np_während",474
3,"pa_während",542.5
4,"np_und",1333.14285714286
4,"pa_und",1401.5
4,"np_während",1010.5
4,"pa_während",1108.5
5,"np_und",1082
5,"pa_und",1569.14285714286
5,"np_während",1693.5
5,"pa_während",1643
6,"np_und",1056
6,"pa_und",341.714285714286
6,"np_während",374.5
6,"pa_während",491.333333333333
7,"np_und",2590.85714285714
7,"pa_und",1043.42857142857
7,"np_während",1468
7,"pa_während",1480
8,"np_und",1125.5
8,"pa_und",651.5
8,"np_während",1072.57142857143
8,"pa_während",961.333333333333
9,"np_und",1276.57142857143
9,"pa_und",877.142857142857
9,"np_während",1198
9,"pa_während",880
10,"np_und",605.333333333333
10,"pa_und",524.666666666667
10,"np_während",1020.57142857143
10,"pa_während",759.428571428571
11,"np_und",599.2
11,"pa_und",521.6
11,"np_während",573.714285714286
11,"pa_während",1011.2
12,"np_und",768.571428571429
12,"pa_und",612.5
12,"np_während",791.428571428571
12,"pa_während",406.857142857143
13,"np_und",1391.42857142857
13,"pa_und",1646.5
13,"np_während",922.666666666667
13,"pa_während",1313.71428571429
14,"np_und",634.285714285714
14,"pa_und",672.571428571429
14,"np_während",925.714285714286
14,"pa_während",534
15,"np_und",562.285714285714
15,"pa_und",408
15,"np_während",332.666666666667
15,"pa_während",592.571428571429
16,"np_und",632.5
16,"pa_und",1228.5
16,"np_während",747
16,"pa_während",675
17,"np_und",1307
17,"pa_und",1216.66666666667
17,"np_während",1040.57142857143
17,"pa_während",925.5
18,"np_und",881.714285714286
18,"pa_und",410.285714285714
18,"np_während",989
18,"pa_während",1313
19,"np_und",801.714285714286
19,"pa_und",1136
19,"np_während",1096
19,"pa_während",1141.71428571429
20,"np_und",746.285714285714
20,"pa_und",1228
20,"np_während",968
20,"pa_während",1389.14285714286
21,"np_und",1587
21,"pa_und",1313
21,"np_während",1570.28571428571
21,"pa_während",1214.28571428571
22,"np_und",701
22,"pa_und",943.5
22,"np_während",1018
22,"pa_während",1605.5
23,"np_und",1737.5
23,"pa_und",512.5
23,"np_während",1460
23,"pa_während",1227.42857142857
24,"np_und",979
24,"pa_und",686.285714285714
24,"np_während",1244.66666666667
24,"pa_während",1100.5
25,"np_und",1023.5
25,"pa_und",933
25,"np_während",828
25,"pa_während",921
26,"np_und",1381.5
26,"pa_und",1286
26,"np_während",787
26,"pa_während",853
27,"np_und",1944.57142857143
27,"pa_und",1187.33333333333
27,"np_während",1136
27,"pa_während",732
28,"np_und",1060.57142857143
28,"pa_und",1042.5
28,"np_während",1721
28,"pa_während",1633.71428571429
29,"np_und",1365
29,"pa_und",1253.71428571429
29,"np_während",551.428571428571
29,"pa_während",1576.5
30,"np_und",507.333333333333
30,"pa_und",400
30,"np_während",868.571428571429
30,"pa_während",688
31,"np_und",2040.5
31,"pa_und",1773.5
31,"np_während",2205
31,"pa_während",1514
32,"np_und",850.666666666667
32,"pa_und",546.857142857143
32,"np_während",842
32,"pa_während",749.142857142857
